NAME,COURSEID,TYPE,TRACKHANDEDNESS,REGION,POSTCODE,LATITUDE,LONGITUDE,FIRSTRACE,NEXTFIXTUREDATE
Aintree,31,Jump,Left-Handed,NORTH,"L9 5AS",53.47735,-2.95194,"2022-10-23 13:30:00",2022-10-23
Ascot,1,Mixed,Right-Handed,SOUTH,"SL5 7JX",51.41212,-0.67966,"2022-09-30 14:00:00",2022-09-30
Ayr,2,Mixed,Left-Handed,NORTH,"KA8 0JE",55.4677,-4.6083,"2022-09-27 13:14:00",2022-09-27
Bangor-on-Dee,3,Jump,Left-Handed,MIDLANDS,"LL13 0DA",52.99303,-2.92091,"2022-09-28 13:55:00",2022-09-28
Bath,4,Flat,Left-Handed,SOUTH,"BA1 9BU",51.4187,-2.40777,,2022-10-12
Beverley,5,Flat,Right-Handed,NORTH,"HU17 8QZ",53.84366,-0.46119,,2023-04-19
Brighton,6,Flat,Left-Handed,SOUTH,"BN2 9SX",50.82988,-0.11313,"2022-10-04 13:33:00",2022-10-04
Carlisle,7,Mixed,Right-Handed,NORTH,"CA2 4TS",54.85901,-2.92898,"2022-10-13 13:00:00",2022-10-13
Cartmel,8,Jump,Left-Handed,NORTH,"LA11 6QF",54.20345,-2.95704,,2023-05-27
"Catterick Bridge",9,Mixed,Left-Handed,NORTH,"DL10 7PE",54.38772,-1.64802,"2022-09-28 13:44:00",2022-09-28
"Chelmsford City",65,Flat,Left-Handed,SOUTH,"CM3 1PQ",51.83929,0.5133,"2022-09-29 17:25:00",2022-09-29
Cheltenham,10,Jump,Left-Handed,MIDLANDS,"GL50 4SH",51.92075,-2.06582,"2022-10-21 13:35:00",2022-10-21
Chepstow,11,Mixed,Left-Handed,SOUTH,"NP16 6BE",51.65409,-2.6917,"2022-10-07 13:00:00",2022-10-07
Chester,12,Flat,Left-Handed,MIDLANDS,"CH1 2LY",53.18732,-2.89816,,2023-05-10
Doncaster,14,Mixed,Left-Handed,NORTH,"DN2 6BB",53.52363,-1.09482,"2022-10-21 13:10:00",2022-10-21
"Epsom Downs",16,Flat,Left-Handed,SOUTH,"KT18 5LQ",51.31298,-0.2542,,2022-09-25
Exeter,13,Jump,Right-Handed,SOUTH,"EX6 7XS",50.64055,-3.56148,"2022-10-06 13:05:00",2022-10-06
Fakenham,17,Jump,Left-Handed,MIDLANDS,"NR21 7NY",52.82259,0.8555,"2022-10-14 13:30:00",2022-10-14
"Ffos Las",64,Mixed,Left-Handed,SOUTH,"SA17 4DE",51.73397,-4.23781,"2022-09-26 13:25:00",2022-09-25
"Fontwell Park",19,Jump,"Figure of Eight",SOUTH,"BN18 0SX",50.85446,-0.65352,"2022-09-30 13:40:00",2022-09-30
Goodwood,20,Flat,Right-Handed,SOUTH,"PO18 0PS",50.89184,-0.74506,"2022-10-09 13:50:00",2022-10-09
"Great Yarmouth",61,Flat,Left-Handed,MIDLANDS,"NR30 4AU",52.63898,1.73416,"2022-10-10 13:55:00",2022-09-25
"Hamilton Park",21,Flat,Right-Handed,NORTH,"ML3 0DW",55.79053,-4.0513,"2022-09-26 13:05:00",2022-09-26
"Haydock Park",22,Mixed,Left-Handed,NORTH,"WA12 0HQ",53.47923,-2.6197,"2022-10-14 13:40:00",2022-10-14
Hereford,23,Jump,Right-Handed,MIDLANDS,"HR4 9QU",52.07372,-2.7311,"2022-10-11 13:00:00",2022-10-11
Hexham,24,Jump,Left-Handed,NORTH,"NE46 4PF",54.95552,-2.13002,"2022-09-30 13:50:00",2022-09-30
Huntingdon,25,Jump,Right-Handed,MIDLANDS,"PE28 4NL",52.33406,-0.2339,"2022-10-04 13:05:00",2022-10-04
Kelso,26,Jump,Left-Handed,NORTH,"TD5 7SX",55.61444,-2.4331,"2022-10-02 13:25:00",2022-10-02
"Kempton Park",27,Mixed,Right-Handed,SOUTH,"TW16 5AQ",51.41808,-0.40727,"2022-09-28 17:30:00",2022-09-28
Leicester,29,Mixed,Right-Handed,MIDLANDS,"LE2 4AL",52.60299,-1.09465,"2022-10-04 14:00:00",2022-10-04
"Lingfield Park",30,Mixed,Left-Handed,SOUTH,"RH7 6PQ",51.17052,-0.00535,"2022-09-29 13:44:00",2022-09-29
Ludlow,32,Jump,Right-Handed,MIDLANDS,"SY8 2BT",52.39269,-2.75058,"2022-10-05 13:40:00",2022-10-05
"Market Rasen",33,Jump,Right-Handed,MIDLANDS,"LN8 3EA",53.38088,-0.3123,"2022-10-15 13:17:00",2022-10-15
Musselburgh,15,Mixed,Right-Handed,NORTH,"EH21 7RG",55.94671,-3.04455,"2022-10-10 13:35:00",2022-10-10
Newbury,34,Mixed,Left-Handed,SOUTH,"RG14 7NZ",51.39762,-1.304,"2022-10-21 13:25:00",2022-10-21
Newcastle,35,Mixed,Left-Handed,NORTH,"NE3 5HP",55.03453,-1.6113,"2022-09-26 16:50:00",2022-09-26
Newmarket,36,Flat,Right-Handed,MIDLANDS,"CB8 0TG",52.23833,0.3766,"2022-10-01 13:31:00",2022-10-01
"Newton Abbot",37,Jump,Left-Handed,SOUTH,TQ123AF,50.53991,-3.5986,"2022-09-26 13:43:00",2022-09-26
Nottingham,38,Flat,Left-Handed,MIDLANDS,"NG2 4BE",52.94902,-1.1122,"2022-09-28 13:00:00",2022-09-28
Perth,39,Jump,Right-Handed,NORTH,"PH2 6BB",56.4262,-3.4499,,2023-04-26
Plumpton,40,Jump,Left-Handed,SOUTH,"BN7 3AL",50.9235,-0.06438,"2022-10-17 14:10:00",2022-10-17
Pontefract,41,Flat,Left-Handed,NORTH,"WF8 4QD",53.69621,-1.3328,"2022-10-03 13:55:00",2022-10-03
Redcar,42,Flat,Left-Handed,NORTH,"TS10 2BY",54.61017,-1.0655,"2022-10-01 13:36:00",2022-10-01
Ripon,43,Flat,Right-Handed,NORTH,"HG4 1UG",54.12567,-1.49994,,2023-04-20
Salisbury,44,Flat,Right-Handed,SOUTH,"SP2 8PN",51.05486,-1.86305,"2022-09-29 13:59:00",2022-09-29
"Sandown Park",45,Mixed,Right-Handed,SOUTH,"KT10 9AJ",51.37383,-0.36339,"2022-11-06 12:50:00",2022-11-06
Sedgefield,46,Jump,Left-Handed,NORTH,"TS21 2HW",54.64551,-1.46346,"2022-09-27 13:00:00",2022-09-27
Southwell,47,Mixed,Left-Handed,MIDLANDS,"NG25 0TS",53.06646,-0.902,"2022-09-27 13:51:00",2022-09-27
Stratford-on-Avon,48,Jump,Left-Handed,MIDLANDS,"CV37 9SE",52.18307,-1.72529,"2022-10-03 13:00:00",2022-10-03
Taunton,49,Jump,Right-Handed,SOUTH,"TA3 7BL",50.99071,-3.08401,"2022-10-26 13:55:00",2022-10-26
Thirsk,51,Flat,Left-Handed,NORTH,"YO7 1QL",54.23191,-1.34965,,2023-04-04
Uttoxeter,53,Jump,Left-Handed,MIDLANDS,"ST14 8BD",52.89525,-1.8526,"2022-10-02 13:43:00",2022-10-02
Warwick,54,Jump,Left-Handed,MIDLANDS,"CV34 6HN",52.27964,-1.59792,"2022-09-29 13:36:00",2022-09-29
Wetherby,55,Jump,Left-Handed,NORTH,"LS22 5EJ",53.93265,-1.35922,"2022-10-12 13:20:00",2022-10-12
Wincanton,56,Jump,Right-Handed,SOUTH,"BA9 8BJ",51.06395,-2.41644,"2022-10-13 13:43:00",2022-10-13
Windsor,57,Flat,"Figure of Eight",SOUTH,"SL4 5JJ",51.48949,-0.63078,"2022-10-03 14:02:00",2022-10-03
Wolverhampton,58,Flat,Left-Handed,MIDLANDS,"WV6 0PE",52.60416,-2.1417,"2022-09-27 17:00:00",2022-09-27
Worcester,59,Jump,Left-Handed,MIDLANDS,"WR1 3EJ",52.19623,-2.23289,"2022-10-06 14:06:00",2022-10-06
York,62,Flat,Left-Handed,NORTH,"YO23 1EX",53.94059,-1.0924,"2022-10-07 14:05:00",2022-10-07
